content,vader_text,clean_text,vader_score,sentiment
New Blog Post: Celebrity Apprentice Finale and Lessons Learned Along the Way: http://tinyurl.com/qlux5e,New Blog Post: Celebrity Apprentice Finale and Lessons Learned Along the Way:,new blog post celebrity apprentice finale and lessons learned along the way,0.0,neutral
"""My persona will never be that of a wallflower - I’d rather build walls than cling to them"" --Donald J. Trump","""My persona will never be that of a wallflower - I’d rather build walls than cling to them"" --Donald J. Trump",my persona will never be that of a wallflower i d rather build walls than cling to them donald j trump,0.0,neutral
"""When the achiever achieves, it's not a plateau, it’s a beginning."" --Donald J. Trump http://tinyurl.com/pqpfvm","""When the achiever achieves, it's not a plateau, it’s a beginning."" --Donald J. Trump",when the achiever achieves it s not a plateau it s a beginning donald j trump,0.0,neutral
"""...these days...we could all use a little of the power of Trumpative thinking."" –BarnesandNoble.com http://tinyurl.com/pqpfvm","""...these days...we could all use a little of the power of Trumpative thinking."" –BarnesandNoble.com",these days we could all use a little of the power of trumpative thinking barnesandnoble com,0.0,neutral
"""Keep it fast, short and direct - whatever it is."" --Donald J. Trump http://tinyurl.com/pqpfvm","""Keep it fast, short and direct - whatever it is."" --Donald J. Trump",keep it fast short and direct whatever it is donald j trump,0.0,neutral
"""You have to know when to call it quits and when to keep moving forward."" --Donald J. Trump http://www.trumpthinklikeachampion.com","""You have to know when to call it quits and when to keep moving forward."" --Donald J. Trump",you have to know when to call it quits and when to keep moving forward donald j trump,0.0,neutral
Check out Donald Trump's new iGoogle Showcase page: http://bit.ly/DdD2A,Check out Donald Trump's new iGoogle Showcase page:,check out donald trump s new igoogle showcase page,0.0,neutral
“Expand your life every day.” –Donald J. Trump http://tinyurl.com/pqpfvm,“Expand your life every day.” –Donald J. Trump,expand your life every day donald j trump,0.0,neutral
Donald Trump’s commercial-free WWE Raw does big rating: http://tinyurl.com/nxvquo,Donald Trump’s commercial-free WWE Raw does big rating:,donald trump s commercial free wwe raw does big rating,0.0,neutral
Check out a list of Donald Trump's books for summer reading at the Trump University Blog: http://tinyurl.com/knyswt,Check out a list of Donald Trump's books for summer reading at the Trump University Blog:,check out a list of donald trump s books for summer reading at the trump university blog,0.0,neutral
Be sure to tune in and watch Donald Trump on Late Night with David Letterman as he presents the Top Ten List tonight!,Be sure to tune in and watch Donald Trump on Late Night with David Letterman as he presents the Top Ten List tonight!,be sure to tune in and watch donald trump on late night with david letterman as he presents the top ten list tonight,0.5255,positive
Donald Trump will be appearing on The View tomorrow morning to discuss Celebrity Apprentice and his new book Think Like A Champion!,Donald Trump will be appearing on The View tomorrow morning to discuss Celebrity Apprentice and his new book Think Like A Champion!,donald trump will be appearing on the view tomorrow morning to discuss celebrity apprentice and his new book think like a champion,0.7712,positive
Donald Trump reads Top Ten Financial Tips on Late Show with David Letterman: http://tinyurl.com/ooafwn - Very funny!,Donald Trump reads Top Ten Financial Tips on Late Show with David Letterman: - Very funny!,donald trump reads top ten financial tips on late show with david letterman very funny,0.6468,positive
"Miss USA Tara Conner will not be fired - ""I've always been a believer in second chances."" says Donald Trump","Miss USA Tara Conner will not be fired - ""I've always been a believer in second chances."" says Donald Trump",miss usa tara conner will not be fired i ve always been a believer in second chances says donald trump,0.4809,positive
"Listen to an interview with Donald Trump discussing his new book, Think Like A Champion: http://tinyurl.com/qs24vl","Listen to an interview with Donald Trump discussing his new book, Think Like A Champion:",listen to an interview with donald trump discussing his new book think like a champion,0.7506,positive
"""Strive for wholeness and keep your sense of wonder intact."" --Donald J. Trump http://tinyurl.com/pqpfvm","""Strive for wholeness and keep your sense of wonder intact."" --Donald J. Trump",strive for wholeness and keep your sense of wonder intact donald j trump,0.2023,positive
"Enter the ""Think Like A Champion"" signed book and keychain contest: http://www.trumpthinklikeachampion.com/contest/","Enter the ""Think Like A Champion"" signed book and keychain contest:",enter the think like a champion signed book and keychain contest,0.7506,positive
"""Don’t be afraid of being unique - it's like being afraid of your best self."" --Donald J. Trump http://tinyurl.com/pqpfvm","""Don’t be afraid of being unique - it's like being afraid of your best self."" --Donald J. Trump",don t be afraid of being unique it s like being afraid of your best self donald j trump,0.7717,positive
"""We win in our lives by having a champion's view of each moment."" --Donald J. Trump http://tinyurl.com/pqpfvm","""We win in our lives by having a champion's view of each moment."" --Donald J. Trump",we win in our lives by having a champion s view of each moment donald j trump,0.5859,positive
"""Always know you could be on the precipice of something great."" --Donald J. Trump http://tinyurl.com/pqpfvm","""Always know you could be on the precipice of something great."" --Donald J. Trump",always know you could be on the precipice of something great donald j trump,0.6249,positive
